frame,timestamp in s,success,yaw in radians,pitch in radians
1,0.0,1,0.41,0.061
2,0.033,1,0.219,-0.08
3,0.067,1,0.191,-0.061
4,0.1,1,0.219,-0.039
5,0.133,1,0.213,-0.042
6,0.167,1,0.229,-0.034
7,0.2,1,0.223,-0.029
8,0.234,1,0.225,-0.018
9,0.267,1,0.205,-0.015
10,0.3,1,0.203,-0.021
11,0.334,1,0.215,-0.013
12,0.367,1,0.2,-0.004
13,0.4,1,0.189,-0.004
14,0.434,1,0.206,-0.018
15,0.467,1,0.214,-0.034
16,0.501,1,0.207,-0.031
17,0.534,1,0.19,-0.02
18,0.567,1,0.194,-0.021
19,0.601,1,0.204,-0.015
20,0.634,1,0.205,-0.026
21,0.667,1,0.194,-0.028
22,0.701,1,0.194,-0.025
23,0.734,1,0.209,-0.016
24,0.767,1,0.189,-0.05
25,0.801,1,0.209,-0.017
26,0.834,1,0.189,-0.034
27,0.868,1,0.189,-0.036
28,0.901,1,0.186,-0.025
29,0.934,1,0.193,-0.033
30,0.968,1,0.2,-0.055
31,1.001,1,0.185,-0.055
32,1.034,1,0.2,-0.039
33,1.068,1,0.198,-0.049
34,1.101,1,0.196,-0.038
35,1.134,1,0.191,-0.034
36,1.168,1,0.211,-0.027
37,1.201,1,0.186,-0.023
38,1.235,1,0.193,-0.033
39,1.268,1,0.202,-0.04
40,1.301,1,0.201,-0.039
41,1.335,1,0.185,-0.051
42,1.368,1,0.179,-0.053
43,1.401,1,0.184,-0.053
44,1.435,1,0.193,-0.056
45,1.468,1,0.2,-0.055
46,1.502,1,0.192,-0.065
47,1.535,1,0.195,-0.05
48,1.568,1,0.22,-0.059
49,1.602,1,0.191,-0.061
50,1.635,1,0.203,-0.072
51,1.668,1,0.2,-0.07
52,1.702,1,0.209,-0.066
53,1.735,1,0.191,-0.068
54,1.768,1,0.192,-0.066
55,1.802,1,0.174,-0.061
56,1.835,1,0.183,-0.062
57,1.869,1,0.178,-0.055
58,1.902,1,0.191,-0.055
59,1.935,1,0.195,-0.054
60,1.969,1,0.195,-0.064
61,2.002,1,0.216,-0.061
62,2.035,1,0.205,-0.056
63,2.069,1,0.206,-0.058
64,2.102,1,0.202,-0.051
65,2.135,1,0.188,-0.06
66,2.169,1,0.209,-0.052
67,2.202,1,0.203,-0.054
68,2.236,1,0.215,-0.042
69,2.269,1,0.22,-0.047
70,2.302,1,0.216,-0.035
71,2.336,1,0.218,-0.033
72,2.369,1,0.187,-0.027
73,2.402,1,0.056,-0.045
74,2.436,1,-0.126,-0.008
75,2.469,1,-0.164,-0.015
76,2.503,1,-0.143,-0.03
77,2.536,1,-0.137,-0.023
78,2.569,1,-0.145,-0.009
79,2.603,1,-0.149,-0.003
80,2.636,1,-0.161,0.001
81,2.669,1,-0.177,-0.017
82,2.703,1,-0.18,-0.047
83,2.736,1,-0.172,-0.058
84,2.769,1,-0.158,-0.054
85,2.803,1,-0.166,-0.059
86,2.836,1,-0.142,-0.069
87,2.87,1,-0.129,-0.069
88,2.903,1,-0.173,-0.07
89,2.936,1,-0.168,-0.055
90,2.97,1,-0.142,-0.059
91,3.003,1,-0.148,-0.065
92,3.036,1,-0.143,-0.045
93,3.07,1,-0.148,-0.058
94,3.103,1,-0.145,-0.054
95,3.136,1,-0.144,-0.049
96,3.17,1,-0.155,-0.058
97,3.203,1,-0.152,-0.05
98,3.237,1,-0.155,-0.06
99,3.27,1,-0.148,-0.051
100,3.303,1,-0.149,-0.054
101,3.337,1,-0.155,-0.062
102,3.37,1,-0.14,-0.065
103,3.403,1,-0.141,-0.067
104,3.437,1,-0.143,-0.057
105,3.47,1,-0.147,-0.068
106,3.504,1,-0.148,-0.064
107,3.537,1,-0.15,-0.06
108,3.57,1,-0.137,-0.054
109,3.604,1,-0.131,-0.059
110,3.637,1,-0.132,-0.057
111,3.67,1,-0.148,-0.044
112,3.704,1,-0.148,-0.04
113,3.737,1,-0.147,-0.049
114,3.77,1,-0.144,-0.052
115,3.804,1,-0.14,-0.052
116,3.837,1,-0.14,-0.051
117,3.871,1,-0.138,-0.052
118,3.904,1,-0.135,-0.055
119,3.937,1,-0.139,-0.056
120,3.971,1,-0.132,-0.063
121,4.004,1,-0.133,-0.064
122,4.037,1,-0.139,-0.065
123,4.071,1,-0.138,-0.06
124,4.104,1,-0.148,-0.069
125,4.137,1,-0.148,-0.068
126,4.171,1,-0.143,-0.067
127,4.204,1,-0.156,-0.06
128,4.238,1,-0.156,-0.049
