frame,timestamp in s,success,yaw in radians,pitch in radians,x of gaze vector,y of gaze vector,z of gaze vector
1,0.0,0,nan,nan,nan,nan,nan
2,0.033,0,nan,nan,nan,nan,nan
3,0.067,1,0.39,-0.142,0.37665045261383057,-0.1411934345960617,-0.9155319929122925
4,0.1,1,0.376,-0.151,0.3626231849193573,-0.1503201276063919,-0.9197327494621277
5,0.133,1,0.366,-0.14,0.3547399640083313,-0.13961747288703918,-0.9244816899299622
6,0.167,0,nan,nan,nan,nan,nan
7,0.2,0,nan,nan,nan,nan,nan
8,0.234,1,0.343,-0.153,0.33205536007881165,-0.15211915969848633,-0.930912971496582
9,0.267,1,0.355,-0.141,0.34380900859832764,-0.14068132638931274,-0.9284417629241943
10,0.3,1,0.367,-0.143,0.35470128059387207,-0.14254789054393768,-0.9240493178367615
11,0.334,1,0.366,-0.158,0.35341694951057434,-0.15779516100883484,-0.9220613837242126
12,0.367,1,0.377,-0.138,0.3646247088909149,-0.13726679980754852,-0.9209814071655273
13,0.4,1,0.383,-0.133,0.369961142539978,-0.13265790045261383,-0.9195274114608765
14,0.434,1,0.356,-0.15,0.34475988149642944,-0.1495020091533661,-0.9267090559005737
15,0.467,1,0.358,-0.15,0.34626978635787964,-0.14929714798927307,-0.926179051399231
16,0.501,1,0.354,-0.141,0.3435404598712921,-0.14091931283473969,-0.9285051226615906
17,0.534,0,nan,nan,nan,nan,nan
18,0.567,0,nan,nan,nan,nan,nan
19,0.601,0,nan,nan,nan,nan,nan
20,0.634,1,0.373,-0.153,0.3600086569786072,-0.15193147957324982,-0.920494794845581
21,0.667,0,nan,nan,nan,nan,nan
22,0.701,1,0.403,-0.151,0.3876021206378937,-0.1503988355398178,-0.9094750285148621
23,0.734,1,0.4,-0.145,0.3849605619907379,-0.14483846724033356,-0.9114972352981567
24,0.767,1,0.407,-0.14,0.39173030853271484,-0.1397840529680252,-0.909399688243866
25,0.801,1,0.399,-0.147,0.38432273268699646,-0.1467701643705368,-0.911457359790802
26,0.834,1,0.383,-0.156,0.3687375783920288,-0.15503740310668945,-0.9165129065513611
27,0.868,1,0.397,-0.148,0.3828296959400177,-0.1472424566745758,-0.9120093584060669
28,0.901,0,nan,nan,nan,nan,nan
29,0.934,0,nan,nan,nan,nan,nan
30,0.968,0,nan,nan,nan,nan,nan
31,1.001,1,0.408,-0.157,0.3916281759738922,-0.15586787462234497,-0.9068255424499512
32,1.034,1,0.408,-0.158,0.3921820819377899,-0.15779808163642883,-0.9062522053718567
33,1.068,0,nan,nan,nan,nan,nan
34,1.101,1,0.393,-0.156,0.37839606404304504,-0.1551560014486313,-0.9125475287437439
35,1.134,1,0.39,-0.17,0.3749758005142212,-0.16906459629535675,-0.9114879369735718
36,1.168,1,0.39,-0.154,0.37533503770828247,-0.15340076386928558,-0.9141071438789368
37,1.201,1,0.392,-0.165,0.37685176730155945,-0.1638685166835785,-0.9116632342338562
38,1.235,1,0.382,-0.153,0.36867567896842957,-0.15211907029151917,-0.9170267581939697
39,1.268,1,0.383,-0.151,0.36968719959259033,-0.1502024233341217,-0.9169354438781738
40,1.301,1,0.392,-0.155,0.37788790464401245,-0.15420125424861908,-0.9129198789596558
41,1.335,1,0.349,-0.163,0.3373231887817383,-0.16214437782764435,-0.9273198843002319
42,1.368,1,0.38,-0.145,0.3671751022338867,-0.14459599554538727,-0.9188440442085266
43,1.401,1,0.394,-0.156,0.3791998624801636,-0.1554953008890152,-0.9121560454368591
44,1.435,1,0.393,-0.159,0.37845462560653687,-0.15861016511917114,-0.9119292497634888
45,1.468,1,0.386,-0.149,0.37265685200691223,-0.14860166609287262,-0.9159936904907227
46,1.502,0,nan,nan,nan,nan,nan
47,1.535,0,nan,nan,nan,nan,nan
48,1.568,1,0.39,-0.165,0.37477487325668335,-0.16429027915000916,-0.9124431610107422
49,1.602,1,0.392,-0.151,0.37803325057029724,-0.14999939501285553,-0.9135594964027405
50,1.635,0,nan,nan,nan,nan,nan
51,1.668,1,0.312,-0.159,0.30322858691215515,-0.15865066647529602,-0.9396182298660278
52,1.702,1,0.314,-0.143,0.3060237765312195,-0.14255164563655853,-0.9412907958030701
53,1.735,1,0.294,-0.166,0.2861366271972656,-0.16562660038471222,-0.9437656998634338
54,1.768,1,0.321,-0.163,0.3110508918762207,-0.1624106615781784,-0.9364134669303894
55,1.802,1,0.32,-0.17,0.30999618768692017,-0.1690143346786499,-0.9355942010879517
56,1.835,1,0.326,-0.16,0.31648892164230347,-0.1594334840774536,-0.9351019859313965
57,1.869,1,0.332,-0.159,0.32147106528282166,-0.1586194932460785,-0.9335395693778992
58,1.902,1,0.329,-0.166,0.31865042448043823,-0.16478441655635834,-0.933438777923584
59,1.935,1,0.296,-0.158,0.2882198393344879,-0.15778876841068268,-0.944474458694458
60,1.969,1,0.328,-0.139,0.31898897886276245,-0.13869795203208923,-0.9375548362731934
61,2.002,1,0.298,-0.157,0.2898058295249939,-0.15657350420951843,-0.9441913962364197
62,2.035,1,0.33,-0.16,0.32010602951049805,-0.15925557911396027,-0.9339002966880798
63,2.069,1,0.318,-0.161,0.308642715215683,-0.16028070449829102,-0.9375765919685364
64,2.102,1,0.344,-0.15,0.3335978090763092,-0.14903736114501953,-0.9308599829673767
65,2.135,1,0.314,-0.163,0.3051256239414215,-0.1617913544178009,-0.9384678602218628
66,2.169,1,0.323,-0.153,0.3132496476173401,-0.15268857777118683,-0.9373157620429993
67,2.202,1,0.345,-0.153,0.33410751819610596,-0.152444526553154,-0.9301251769065857
68,2.236,1,0.332,-0.149,0.32204580307006836,-0.14875203371047974,-0.9349648952484131
69,2.269,1,0.328,-0.16,0.3177270293235779,-0.1595297008752823,-0.9346656203269958
70,2.302,1,0.323,-0.16,0.3134779930114746,-0.1596580445766449,-0.9360774159431458
71,2.336,1,0.333,-0.149,0.32327958941459656,-0.1486184000968933,-0.934560239315033
72,2.369,1,0.295,-0.159,0.28713124990463257,-0.15794602036476135,-0.9447796940803528
73,2.402,1,0.045,-0.188,0.04427153244614601,-0.18729756772518158,-0.9813051223754883
74,2.436,1,-0.019,-0.172,-0.01892801560461521,-0.17163057625293732,-0.9849795699119568
75,2.469,1,-0.066,-0.17,-0.06478865444660187,-0.1695316582918167,-0.9833928346633911
76,2.503,1,-0.039,-0.157,-0.03892120346426964,-0.1561986804008484,-0.9869585037231445
77,2.536,1,-0.077,-0.158,-0.07609293609857559,-0.15742012858390808,-0.9845957159996033
78,2.569,1,-0.07,-0.152,-0.06888463348150253,-0.1512547880411148,-0.986091673374176
79,2.603,1,-0.048,-0.157,-0.04783172532916069,-0.15652649104595184,-0.9865148067474365
80,2.636,1,-0.09,-0.148,-0.08863057941198349,-0.1476731300354004,-0.9850570559501648
81,2.669,1,-0.104,-0.144,-0.10249262303113937,-0.14349111914634705,-0.9843300580978394
82,2.703,1,-0.076,-0.162,-0.0746021568775177,-0.16125670075416565,-0.9840888381004333
83,2.736,1,-0.059,-0.165,-0.05835428461432457,-0.16445298492908478,-0.9846572875976562
84,2.769,1,-0.059,-0.164,-0.058269985020160675,-0.16304437816143036,-0.9848964810371399
85,2.803,1,-0.048,-0.176,-0.04733377695083618,-0.1754099577665329,-0.9833569526672363
86,2.836,1,-0.083,-0.159,-0.08188717067241669,-0.1579076647758484,-0.9840526580810547
87,2.87,1,-0.073,-0.161,-0.07190840691328049,-0.16020779311656952,-0.9844605922698975
88,2.903,1,-0.048,-0.168,-0.04717956483364105,-0.16725550591945648,-0.9847841262817383
89,2.936,1,-0.097,-0.161,-0.09542863070964813,-0.16077417135238647,-0.9823670387268066
90,2.97,1,-0.091,-0.16,-0.09005077183246613,-0.1590038239955902,-0.9831625819206238
91,3.003,1,-0.069,-0.17,-0.06785720586776733,-0.16911831498146057,-0.9832571148872375
92,3.036,1,-0.06,-0.182,-0.05881890654563904,-0.18120266497135162,-0.9816852807998657
93,3.07,1,-0.094,-0.149,-0.09249752759933472,-0.14797565340995789,-0.9846559166908264
94,3.103,1,-0.066,-0.17,-0.06533700227737427,-0.16967345774173737,-0.983332097530365
95,3.136,1,-0.093,-0.147,-0.09141979366540909,-0.14679491519927979,-0.9849333167076111
96,3.17,1,-0.091,-0.151,-0.08966313302516937,-0.15007318556308746,-0.9846007227897644
97,3.203,1,-0.072,-0.163,-0.07112287729978561,-0.16179095208644867,-0.9842587113380432
98,3.237,1,-0.083,-0.161,-0.0820719376206398,-0.1604628562927246,-0.9836238026618958
99,3.27,1,-0.065,-0.171,-0.06420692056417465,-0.1698221117258072,-0.9833808541297913
100,3.303,1,-0.082,-0.158,-0.08134355396032333,-0.15774719417095184,-0.9841235280036926
101,3.337,1,-0.075,-0.173,-0.07345836609601974,-0.17214733362197876,-0.9823284149169922
102,3.37,1,-0.07,-0.181,-0.06840115040540695,-0.18050384521484375,-0.981192946434021
103,3.403,1,-0.076,-0.164,-0.07510396093130112,-0.16359788179397583,-0.9836641550064087
104,3.437,1,-0.073,-0.152,-0.07257373631000519,-0.1518111675977707,-0.9857414364814758
105,3.47,1,-0.057,-0.175,-0.056394062936306,-0.1737765520811081,-0.9831690192222595
106,3.504,1,-0.055,-0.167,-0.05404934659600258,-0.16593433916568756,-0.9846545457839966
107,3.537,1,-0.064,-0.191,-0.06306678056716919,-0.1898728460073471,-0.9797810316085815
108,3.57,1,-0.082,-0.157,-0.0813126489520073,-0.15660113096237183,-0.984309196472168
109,3.604,1,-0.072,-0.158,-0.0709337666630745,-0.15762640535831451,-0.9849478602409363
110,3.637,1,-0.082,-0.168,-0.08109387755393982,-0.1669808179140091,-0.9826195240020752
111,3.67,1,-0.073,-0.149,-0.07247450947761536,-0.14841926097869873,-0.986265242099762
112,3.704,1,-0.058,-0.172,-0.05663035809993744,-0.17079639434814453,-0.9836776256561279
113,3.737,1,-0.086,-0.163,-0.08428499102592468,-0.16219092905521393,-0.9831531643867493
114,3.77,1,-0.057,-0.175,-0.05595565587282181,-0.17406225204467773,-0.9831435680389404
115,3.804,1,-0.083,-0.161,-0.08219848573207855,-0.1599835902452469,-0.9836913347244263
116,3.837,1,-0.063,-0.171,-0.0616430938243866,-0.16999854147434235,-0.9835144281387329
117,3.871,1,-0.092,-0.164,-0.09104453027248383,-0.16344167292118073,-0.9823429584503174
118,3.904,1,-0.088,-0.147,-0.08711276948451996,-0.1467280089855194,-0.9853335022926331
119,3.937,1,-0.037,-0.171,-0.03627117723226547,-0.16997039318084717,-0.9847814440727234
120,3.971,1,-0.048,-0.176,-0.0473853275179863,-0.17548954486846924,-0.983340322971344
121,4.004,1,-0.072,-0.153,-0.07151845842599869,-0.1522214114665985,-0.985755443572998
122,4.037,1,-0.084,-0.157,-0.08245895057916641,-0.15679675340652466,-0.9841825366020203
123,4.071,1,-0.076,-0.163,-0.0748756006360054,-0.1626897156238556,-0.9838321805000305
124,4.104,1,-0.079,-0.165,-0.07785861194133759,-0.16394518315792084,-0.983392059803009
125,4.137,1,-0.038,-0.176,-0.03748606890439987,-0.17514203488826752,-0.9838292598724365
126,4.171,1,-0.076,-0.163,-0.07491474598646164,-0.16182231903076172,-0.9839721918106079
127,4.204,1,-0.068,-0.161,-0.0671713575720787,-0.1604003757238388,-0.9847638010978699
128,4.238,1,-0.07,-0.159,-0.06929624080657959,-0.1587282121181488,-0.984887421131134
129,4.271,1,-0.088,-0.156,-0.08649257570505142,-0.1548786163330078,-0.9841400980949402
130,4.304,1,-0.086,-0.164,-0.08470317721366882,-0.16345727443695068,-0.9829074740409851
131,4.338,1,-0.052,-0.173,-0.051393404603004456,-0.17194323241710663,-0.9837653636932373
132,4.371,1,-0.053,-0.185,-0.05187445133924484,-0.1835704892873764,-0.9816368222236633
133,4.404,1,-0.076,-0.176,-0.07490742951631546,-0.17546141147613525,-0.98163241147995
134,4.438,1,-0.089,-0.171,-0.08798377215862274,-0.16987641155719757,-0.9815298914909363
135,4.471,1,-0.093,-0.165,-0.09162446856498718,-0.16408780217170715,-0.9821813106536865
136,4.505,1,-0.047,-0.193,-0.04608859866857529,-0.19163809716701508,-0.9803829789161682
137,4.538,1,-0.053,-0.169,-0.051774248480796814,-0.16793569922447205,-0.9844374656677246
138,4.571,1,-0.055,-0.189,-0.05426708981394768,-0.18833544850349426,-0.9806042909622192
139,4.605,1,-0.077,-0.17,-0.076235830783844,-0.16880106925964355,-0.9826974272727966
140,4.638,1,-0.101,-0.16,-0.0991387739777565,-0.15909124910831451,-0.9822735786437988
141,4.671,1,-0.074,-0.148,-0.07307549566030502,-0.14741304516792297,-0.9863718152046204
142,4.705,1,-0.074,-0.154,-0.07347135245800018,-0.15359163284301758,-0.9853991866111755
143,4.738,1,-0.044,-0.167,-0.04323447495698929,-0.16667430102825165,-0.9850637316703796
144,4.771,1,-0.074,-0.148,-0.07338657975196838,-0.1475929468870163,-0.9863218665122986
145,4.805,1,-0.094,-0.162,-0.09282004088163376,-0.161171093583107,-0.9825519323348999
146,4.838,1,-0.096,-0.16,-0.09496461600065231,-0.15882666409015656,-0.9827287793159485
147,4.872,1,-0.087,-0.154,-0.08589788526296616,-0.15356746315956116,-0.9843975901603699
148,4.905,1,-0.049,-0.165,-0.04806917905807495,-0.1646723747253418,-0.9851762652397156
149,4.938,1,-0.075,-0.152,-0.07405399531126022,-0.15132518112659454,-0.9857061505317688
150,4.972,1,-0.068,-0.154,-0.06729669868946075,-0.15383224189281464,-0.9858025908470154
151,5.005,1,-0.057,-0.172,-0.055708084255456924,-0.17104411125183105,-0.9836872220039368
152,5.038,1,-0.021,-0.079,-0.02133534662425518,-0.07877028733491898,-0.9966644048690796
153,5.072,1,-0.012,-0.091,-0.01206925231963396,-0.09103140980005264,-0.9957748651504517
154,5.105,1,-0.046,-0.093,-0.04582221060991287,-0.09309661388397217,-0.9946021437644958
155,5.138,1,-0.017,-0.08,-0.01645711436867714,-0.08038197457790375,-0.9966282844543457
156,5.172,1,-0.015,-0.08,-0.014866076409816742,-0.08009304851293564,-0.996676504611969
