frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,yaw in radians,pitch in radians
1,0,0,0.98,1,0.176356,0.105541,-0.978652,0.085471,0.065428,-0.99419,0.132,0.086
2,0,0.033,0.98,1,0.201202,0.008042,-0.979517,0.103943,0.002731,-0.994579,0.153,0.005
3,0,0.067,0.98,1,0.163264,0.022355,-0.986329,0.116132,-0.003457,-0.993228,0.14,0.01
4,0,0.1,0.98,1,0.151774,0.020438,-0.988204,0.11577,-0.006359,-0.993256,0.134,0.007
5,0,0.133,0.98,1,0.154751,0.024024,-0.987661,0.113997,-0.003604,-0.993475,0.135,0.01
6,0,0.167,0.98,1,0.151957,0.032569,-0.98785,0.110186,0.006824,-0.993888,0.132,0.02
7,0,0.2,0.98,1,0.139502,0.027176,-0.989849,0.126404,0.022222,-0.99173,0.133,0.025
8,0,0.234,0.98,1,0.139884,0.013574,-0.990075,0.106144,-0.012927,-0.994267,0.123,0
9,0,0.267,0.98,1,0.132969,0.016008,-0.990991,0.108233,-0.014596,-0.994018,0.121,0.001
10,0,0.3,0.98,1,0.141211,0.011062,-0.989918,0.108202,-0.024092,-0.993837,0.125,-0.007
11,0,0.334,0.98,1,0.13669,0.008358,-0.990579,0.107161,-0.025264,-0.993921,0.122,-0.009
12,0,0.367,0.98,1,0.134826,0.005109,-0.990856,0.104788,-0.025852,-0.994159,0.12,-0.01
13,0,0.4,0.98,1,0.138742,0.006269,-0.990309,0.110235,-0.019687,-0.993711,0.125,-0.007
14,0,0.434,0.98,1,0.152638,0.007399,-0.988254,0.110196,-0.021768,-0.993671,0.132,-0.007
15,0,0.467,0.98,1,0.1607,0.006578,-0.986981,0.108834,-0.015412,-0.99394,0.135,-0.004
16,0,0.501,0.98,1,0.155004,0.002013,-0.987912,0.105729,-0.009194,-0.994353,0.131,-0.004
17,0,0.534,0.98,1,0.148702,0.002897,-0.988878,0.104148,-0.009126,-0.99452,0.127,-0.003
18,0,0.567,0.98,1,0.150868,-0.001649,-0.988553,0.108551,-0.009441,-0.994046,0.13,-0.006
19,0,0.601,0.98,1,0.161831,-0.001926,-0.986817,0.112027,-0.004707,-0.993694,0.137,-0.003
20,0,0.634,0.98,1,0.159557,-0.002459,-0.987186,0.104007,0.000363,-0.994576,0.132,-0.001
21,0,0.667,0.98,1,0.156872,-0.003786,-0.987612,0.107875,0.001724,-0.994163,0.133,-0.001
22,0,0.701,0.98,1,0.149393,0.00279,-0.988774,0.118672,-0.000822,-0.992933,0.134,0.001
23,0,0.734,0.98,1,0.145429,0.001067,-0.989368,0.112849,-0.00034,-0.993612,0.13,0
24,0,0.767,0.98,1,0.142102,0.001597,-0.989851,0.111221,0.001484,-0.993795,0.127,0.002
25,0,0.801,0.98,1,0.145312,0.005019,-0.989373,0.115745,0.009069,-0.993238,0.131,0.007
26,0,0.834,0.98,1,0.14851,0.006328,-0.988891,0.117174,0.008254,-0.993077,0.133,0.007
27,0,0.868,0.98,1,0.152479,0.006101,-0.988288,0.113,0.005919,-0.993577,0.133,0.006
28,0,0.901,0.98,1,0.154648,0.002978,-0.987965,0.10783,0.00464,-0.994159,0.132,0.004
29,0,0.934,0.98,1,0.151023,0.005069,-0.988517,0.104834,0.008386,-0.994454,0.128,0.007
30,0,0.968,0.98,1,0.151229,0.010687,-0.988441,0.110662,0.007436,-0.99383,0.131,0.009
31,0,1.001,0.98,1,0.153586,0.006563,-0.988114,0.110424,0.005158,-0.993871,0.132,0.006
32,0,1.034,0.98,1,0.148528,0.004404,-0.988898,0.118603,-0.003485,-0.992936,0.134,0
33,0,1.068,0.98,1,0.152846,0.003892,-0.988242,0.113247,-0.004465,-0.993557,0.133,0
34,0,1.101,0.98,1,0.153066,0.008322,-0.988181,0.107076,-0.009078,-0.994209,0.13,0
35,0,1.134,0.98,1,0.151314,0.010056,-0.988435,0.110589,-0.003923,-0.993858,0.131,0.003
36,0,1.168,0.98,1,0.154143,0.007673,-0.988019,0.113315,-0.007494,-0.993531,0.134,0
37,0,1.201,0.98,1,0.155726,0.007759,-0.98777,0.115733,-0.004347,-0.993271,0.136,0.002
38,0,1.235,0.98,1,0.156918,0.007638,-0.987582,0.113522,-0.009468,-0.99349,0.136,-0.001
39,0,1.268,0.98,1,0.153115,0.008601,-0.988171,0.110167,-0.007691,-0.993883,0.132,0
