frame,timestamp in s,success,yaw in radians,pitch in radians
1,0.0,1,0.06,-0.139
2,0.033,1,0.101,-0.06
3,0.067,1,0.011,-0.107
4,0.1,1,0.077,-0.175
5,0.133,1,0.063,-0.024
6,0.167,1,0.139,-0.01
7,0.2,1,0.134,0.02
8,0.234,1,0.026,-0.029
9,0.267,1,0.12,-0.067
10,0.3,1,0.048,-0.046
11,0.334,1,0.074,0.002
12,0.367,1,0.132,-0.021
13,0.4,1,0.08,-0.042
14,0.434,1,0.09,-0.031
15,0.467,1,0.027,-0.021
16,0.501,1,0.048,-0.077
17,0.534,1,0.04,-0.047
18,0.567,1,0.067,-0.024
19,0.601,1,0.044,-0.048
20,0.634,1,0.05,-0.055
21,0.667,1,0.091,-0.065
22,0.701,1,0.098,-0.076
23,0.734,1,0.054,-0.044
24,0.767,1,0.048,-0.065
25,0.801,1,0.034,-0.092
26,0.834,1,0.019,-0.042
27,0.868,1,0.035,-0.087
28,0.901,1,0.054,-0.031
29,0.934,1,0.016,-0.079
30,0.968,1,0.029,-0.055
31,1.001,1,0.029,-0.066
32,1.034,1,0.044,-0.031
33,1.068,1,0.067,-0.052
34,1.101,1,0.037,-0.072
35,1.134,1,0.024,-0.093
36,1.168,1,0.045,-0.05
37,1.201,1,0.053,-0.058
38,1.235,1,0.061,-0.032
39,1.268,1,0.014,-0.061
40,1.301,1,0.038,-0.049
41,1.335,1,0.019,-0.063
42,1.368,1,0.052,-0.084
43,1.401,1,0.064,-0.062
44,1.435,1,0.046,-0.039
45,1.468,1,0.054,-0.027
46,1.502,1,0.04,-0.005
47,1.535,1,0.048,-0.004
48,1.568,1,-0.025,-0.073
49,1.602,1,0.021,-0.055
50,1.635,1,0.015,-0.069
51,1.668,1,-0.004,-0.067
52,1.702,1,0.035,-0.067
53,1.735,1,0.025,-0.075
54,1.768,1,0.042,-0.07
55,1.802,1,0.016,-0.089
56,1.835,1,0.012,-0.085
57,1.869,1,0.005,-0.082
58,1.902,1,0.035,-0.032
59,1.935,1,0.039,-0.046
60,1.969,1,0.05,-0.062
61,2.002,1,0.058,-0.071
62,2.035,1,0.05,-0.05
63,2.069,1,0.03,-0.078
64,2.102,1,0.001,-0.06
65,2.135,1,0.032,-0.066
66,2.169,1,0.044,-0.066
67,2.202,1,0.042,-0.079
68,2.236,1,0.056,-0.034
69,2.269,1,0.02,-0.062
70,2.302,1,0.038,-0.033
71,2.336,1,-0.016,-0.064
72,2.369,1,-0.011,-0.072
73,2.402,1,-0.153,-0.115
74,2.436,1,-0.21,-0.124
75,2.469,1,-0.242,-0.135
76,2.503,1,-0.261,-0.181
77,2.536,1,-0.25,-0.117
78,2.569,1,-0.27,-0.092
79,2.603,1,-0.218,-0.095
80,2.636,1,-0.277,-0.108
81,2.669,1,-0.218,-0.097
82,2.703,1,-0.239,-0.113
83,2.736,1,-0.272,-0.092
84,2.769,1,-0.267,-0.183
85,2.803,1,-0.226,-0.1
86,2.836,1,-0.26,-0.18
87,2.87,1,-0.245,-0.082
88,2.903,1,-0.185,-0.134
89,2.936,1,-0.241,-0.111
90,2.97,1,-0.265,-0.095
91,3.003,1,-0.196,-0.118
92,3.036,1,-0.252,-0.101
93,3.07,1,-0.202,-0.127
94,3.103,1,-0.254,-0.105
95,3.136,1,-0.2,-0.152
96,3.17,1,-0.212,-0.144
97,3.203,1,-0.24,-0.117
98,3.237,1,-0.192,-0.196
99,3.27,1,-0.209,-0.114
100,3.303,1,-0.241,-0.113
101,3.337,1,-0.214,-0.096
102,3.37,1,-0.268,-0.108
103,3.403,1,-0.228,-0.114
104,3.437,1,-0.14,-0.157
105,3.47,1,-0.156,-0.178
106,3.504,1,-0.253,-0.139
107,3.537,1,-0.26,-0.108
108,3.57,1,-0.259,-0.085
109,3.604,1,-0.187,-0.133
110,3.637,1,-0.229,-0.124
111,3.67,1,-0.18,-0.111
112,3.704,1,-0.217,-0.089
113,3.737,1,-0.194,-0.112
114,3.77,1,-0.206,-0.106
115,3.804,1,-0.189,-0.195
116,3.837,1,-0.17,-0.088
117,3.871,1,-0.202,-0.09
118,3.904,1,-0.178,-0.102
119,3.937,1,-0.178,-0.112
120,3.971,1,-0.183,-0.123
121,4.004,1,-0.191,-0.097
122,4.037,1,-0.168,-0.137
123,4.071,1,-0.245,-0.098
124,4.104,1,-0.195,-0.151
125,4.137,1,-0.228,-0.168
126,4.171,1,-0.213,-0.08
127,4.204,1,-0.196,-0.126
128,4.238,1,-0.169,-0.15
129,4.271,1,-0.189,-0.156
130,4.304,1,-0.225,-0.12
131,4.338,1,-0.21,-0.183
132,4.371,1,-0.259,-0.105
133,4.404,1,-0.191,-0.106
134,4.438,1,-0.19,-0.117
135,4.471,1,-0.17,-0.161
136,4.505,1,-0.148,-0.153
137,4.538,1,-0.202,-0.135
138,4.571,1,-0.212,-0.111
139,4.605,1,-0.2,-0.114
140,4.638,1,-0.242,-0.113
141,4.671,1,-0.218,-0.114
142,4.705,1,-0.211,-0.089
143,4.738,1,-0.23,-0.141
144,4.771,1,-0.177,-0.135
145,4.805,1,-0.231,-0.077
146,4.838,1,-0.237,-0.098
147,4.872,1,-0.205,-0.103
148,4.905,1,-0.202,-0.11
149,4.938,1,-0.159,-0.111
150,4.972,1,-0.18,-0.106
151,5.005,1,-0.189,-0.123
152,5.038,1,-0.187,-0.125
153,5.072,1,-0.202,-0.101
154,5.105,1,-0.21,-0.177
155,5.138,1,-0.182,-0.121
156,5.172,1,-0.165,-0.124
157,5.205,1,-0.175,-0.11
158,5.239,1,-0.193,-0.144
159,5.272,1,-0.199,-0.153
160,5.305,1,-0.246,-0.124
161,5.339,1,-0.249,-0.095
162,5.372,1,-0.217,-0.091
163,5.405,1,-0.22,-0.087
164,5.439,1,-0.268,-0.152
165,5.472,1,-0.215,-0.149
